Roll No,Name of Student,Father Name,Mobile Number,Parent Number,Category,Blood Group,Department,State,Address,Pincode
27BCE0001,"Margarete Parker MD","Mr. Laurence Upton",6872833737,7589858098,SC,O+,"Civil Engineering","Arizona","92595 Kutch Club",507146
27BCS0002,"Sergio Wunsch","Nathaniel Legros",8691921108,8185312751,OBC,A+,"Computer Science and Engineering","Wisconsin","2850 Chandler Shore",407128
27BPH0003,"Zora Stracke","Crystel O'Hara",9465493037,9833374766,OBC,O+,"Engineering Physics","New Jersey","8003 Hickle Meadow",844804
27BCH0004,"Jermaine Cremin","Prudence Williamson",8792335803,9853061442,ST,B-,"Chemical Engineering","West Virginia","54280 Eunice Parkway",994930
27BME0005,"Colby Friesen V","Rodolfo Homenick",7212909237,6102996117,EWS,B-,"Mechanical Engineering","Wisconsin","621 Otis Grove",951395
27BCS0006,"Chyna Pfannerstill","Tommie Walsh",7771728355,6339399809,OBC,O+,"Computer Science and Engineering","Arkansas","8465 E Pine Street",037569
27BCS0007,"Darla Stoltenberg","Hayden Kessler DVM",6722386441,7709873159,EWS,B+,"Computer Science and Engineering","Montana","763 Park View",845646
27BCS0008,"Laury Satterfield","Harvey Lowe",9540581969,6877508761,SC,B+,"Computer Science and Engineering","Alabama","19216 Yundt Valleys",209409
27BCH0009,"Tomas Steuber","Dorian Waelchi-Will",8228894317,8737859899,SC,AB+,"Chemical Engineering","Oregon","7409 Hudson Ferry",148341
27BEE0010,"Betty Beatty","Saul Turcotte",8980163805,6690646007,SC,AB-,"Electrical Engineering","Michigan","761 Willow Drive",680243
27BEC0011,"Jeannie Hyatt","Lionel Orn",6031288388,6097000855,SC,AB-,"Electronics and Communication Engineering","Mississippi","7461 Von Canyon",027744
27BEE0012,"Maxwell Keebler","Bert Renner V",9772328669,9646804788,GEN,A-,"Electrical Engineering","Utah","717 Murray Canyon",210106
27BCE0013,"Melba Johns Jr.","Wilfred Rogahn",7279558912,8405162781,GEN,A+,"Civil Engineering","Louisiana","820 Jakubowski Mount",790131
27BME0014,"Shannon Turcotte Sr.","Torrey Wolf",6597458387,9556560674,GEN,AB+,"Mechanical Engineering","New Hampshire","556 Brookside",065041
27BMT0015,"Katrina Jacobs","Leroy Yost",7335798735,6767713277,GEN,A+,"Material Science and Engineering","Kentucky","206 Katherine Manors",340702
27BEC0016,"Greg Roob","Cyril Reinger",7159259414,7287289973,GEN,AB+,"Electronics and Communication Engineering","New Hampshire","66944 Murphy Pike",183834
27BCE0017,"Mr. Steven Gerhold","Melyna Kerluke",8027775472,8004878156,ST,B+,"Civil Engineering","Nebraska","939 Angie Haven",262430
27BMT0018,"Miracle Willms","Sylvester Kuvalis",9850430585,6566880143,OBC,B+,"Material Science and Engineering","Idaho","4506 Meadow Lane",930053
27BMT0019,"Nellie Boyer","Mr. Joaquin Braun",7715840659,8192461533,GEN,B+,"Material Science and Engineering","Iowa","523 13th Street",952720
