Roll No,Name of Student,Father Name,Mobile Number,Parent Number,Category,Blood Group,State,Address,Pincode
27BCS0001,"Leta Ruecker","Noel Walsh",9587287182,9228470989,GEN,O+,"Arizona","495 Woodlands Close",390116
27BCS0002,"Damien Cole","Abraham Tromp",9214720539,9485664157,EWS,B+,"Mississippi","8985 10th Street",526350
27BCS0003,"Verla Schroeder","Kailey Cormier",9225609994,9289608633,GEN,A-,"Louisiana","5990 Bramble Close",469966
27BCS0004,"Owen Boyle","Duane Reinger",9827755242,9442509283,OBC,B+,"Alabama","1318 Morgan Ford",969996
27BCS0005,"Hassie Wolf PhD","Terrance Lakin",9240772566,9742089244,OBC,B+,"Illinois","690 Cremin Bridge",680691
27BCS0006,"Victoria Wunsch","Evan Ankunding-Denesik",9875008880,9315641027,SC,A+,"Delaware","36924 Wilkinson Forges",804598
27BCS0007,"Lilly Kautzer","Noah Hettinger",9371884696,9217534674,ST,O-,"Massachusetts","5988 Cydney Center",252941
27BCS0008,"Alberta Runolfsdottir","Judson Bradtke",9999794887,9609807392,ST,A+,"Maryland","630 Ardella Roads",367431
27BCS0009,"Fredrick Stehr","Theodore Daniel",9419456438,9475678247,OBC,O-,"Alabama","673 Josefina Crossroad",450976
27BCS0010,"Coralie Connelly","Conrad Pfeffer",9809305533,9789213141,EWS,A+,"Utah","58123 Martha Field",874531
27BCS0011,"Abraham Rutherford","Erick Sanford",9666161207,9228145792,OBC,AB-,"Michigan","215 Church Avenue",706743
27BCS0012,"Justin Klein","Haleigh Lockman",9443982188,9223046686,EWS,AB-,"Rhode Island","991 Schimmel Loop",273516
27BCS0013,"Don Schiller","Shaun Kertzmann",9053094214,9340700882,OBC,O-,"North Carolina","5111 Second Avenue",480026
27BCS0014,"Ceasar Reynolds","Juwan Crist",9122621795,9436034189,GEN,AB+,"New Mexico","149 Brookside",755858
27BCS0015,"Quentin Kuhlman","Terrance Abernathy",9126521053,9880039262,EWS,O-,"Rhode Island","48710 Welch Tunnel",165673
27BCS0016,"Jewell Hoppe","Rex Ratke",9457563309,9584774494,SC,B-,"North Dakota","9461 Hildegard Dam",332766
27BCS0017,"Mr. Mathew Moen V","Jazlyn Schmeler-Adams",9078833706,9145129103,EWS,A-,"Wisconsin","5552 Edward Street",248721
27BCS0018,"Oswald MacGyver DVM","Marcos Brakus",9076128472,9643230784,EWS,O+,"Washington","9643 River Street",072972
27BCS0019,"Mrs. Sandra MacGyver IV","Israel Zieme",9072631616,9366023364,OBC,AB-,"Colorado","9875 Abbott Overpass",271781
27BCS0020,"Mr. Omar Jacobson","Fred Hamill",9137417508,9218057265,SC,O-,"Wyoming","307 O'Conner Walks",939909
27BCS0021,"Muriel Balistreri","Irving Kiehn",9233231176,9583633020,GEN,B-,"Rhode Island","918 Albert Road",665593
27BCS0022,"Milo Homenick Jr.","Alton Hoppe",9384651180,9700839094,ST,B-,"Arkansas","9096 Ruecker Field",170815
27BCS0023,"Jerry Howell-Macejkovic","Timmy Treutel PhD",9839943304,9314641756,OBC,O+,"Missouri","762 Allan Junction",056102
27BCS0024,"Doyle Tremblay","Mr. Lester Ledner",9378197788,9960697927,OBC,AB-,"Texas","69105 W Washington Street",979832
27BCS0025,"Bernadette Herman","Mr. Fabian Gulgowski",9162151085,9059059587,OBC,AB+,"Delaware","420 School Road",324507
27BCS0026,"Margret Greenfelder","Freida Mosciski",9291328985,9135257872,EWS,B-,"Mississippi","218 Balistreri Trafficway",814790
27BCS0027,"Miles Grady","Gabriella Gusikowski",9848273352,9699909296,SC,A+,"Maine","3486 D'angelo Wall",616401
27BCS0028,"Bernadette Satterfield","Jakob Welch",9269025619,9110895404,OBC,O-,"Oregon","19230 The Croft",157661
27BCS0029,"Dewey Halvorson","Aleen Mayert",9096101602,9074708468,ST,B-,"Nebraska","5109 Stokes Ranch",111078
27BCS0030,"Marjorie Predovic II","Billy Haley",9506273022,9146831852,SC,B-,"Pennsylvania","744 Bechtelar Junctions",524236
